Name	Mass	m/z	RT min	RT	Cel_1dil40_1-B,3_01_21146	Cel_1dil40_1-B,3_01_21151	Cel_1dil40_1-B,3_01_21156	Cel_1dil40_1-B,3_01_21161	Cel_1dil40_1-B,3_01_21166
Cluster_07854	496.1073812	514.1412072	21.73674964	1135.355216	1051.7146	1133.252319	1205.271118	1274.817871	1161.464355
Cluster_07867	496.313589	514.347415	26.82011681	1423.887179	1889.205078	1474.682007	1081.04248	1024.284058	1038.930298
Cluster_07870	497.1086625	515.1424885	3.063715635	413.6626445	7327.646484	7445.558105	7869.969727	9347.035156	9713.852539
Cluster_07871	497.1090182	515.1428442	7.527358755	536.6419828	27567.83398	25966.77344	25511.33984	28343.48242	27484.14648
Cluster_07874	497.1082493	515.1420753	11.63421587	647.268473	2911.489746	2672.977295	2560.266602	2832.217773	2654.867432
Cluster_07876	514.1463264	515.1536024	3.061077482	413.5833574	1802.360107	2180.24292	2076.101563	2246.631348	2729.267822
Cluster_07906	493.1372587	516.1264797	15.70246761	811.4356511	6599.373535	6431.056152	6672.694824	7187.436035	7133.450684
Cluster_07915	498.2384476	516.2722736	24.58810302	1298.737572	11622.8877	10243.24121	9998.212891	11370.81738	11737.2373
Cluster_07916	498.2384071	516.2722331	24.16145954	1274.335109	10907.07129	10266.33789	10921.74414	12002.86621	12171.58691
Cluster_07918	515.2867976	516.2940736	23.53318883	1238.400296	2582.10376	2363.579834	2677.418213	2927.804688	2786.52417
Cluster_07919	493.2922318	516.2814528	24.16146407	1274.335368	3983.988281	4041.379639	3922.055176	4265.024902	4874.903809
Cluster_07920	493.317278	516.306499	25.01955957	1323.033777	4068.387451	4015.075195	3475.300537	3322.24292	3734.756104
Cluster_07922	515.2920789	516.2993549	17.1761378	884.0129209	1633.292358	1328.980225	1292.57373	1454.905396	1340.925659
Cluster_07923	493.3192679	516.3084889	22.82417936	1197.837643	4970.22168	4587.446777	4395.796387	5026.879883	6003.044922
Cluster_07941	499.2969008	517.3307268	19.95003164	1034.010922	1693.402344	1775.855225	1716.262573	1819.667236	1743.850464
Cluster_07961	500.1805054	518.2143314	24.84378802	1313.144101	1299.989136	1173.956055	1136.082764	1257.140381	1214.029541
Cluster_07969	495.3325555	518.3217765	27.42603149	1457.342967	7476.560547	7471.721191	6519.31543	6142.709473	7234.010254
Cluster_08005	502.1588132	520.1926392	11.54581926	644.1871031	4709.642578	4027.260254	2224.01416	19993.89453	19281.29688
Cluster_08007	502.1683915	520.2022175	2.825240316	406.495506	4881.78125	3938.961426	3471.695801	2973.251953	2650.801758
Cluster_08009	502.2200785	520.2539045	25.60548232	1356.000356	3239.429443	3247.488037	3211.075439	3449.787598	3379.503662
Cluster_08022	519.3329765	520.3402525	25.61003537	1356.256531	300001.3125	266736.7813	265689.3438	317115.625	319797
Cluster_08033	502.4446053	520.4784313	25.60596614	1356.027578	2556.574219	2311.77002	2548.415039	3381.983398	3551.436035
Cluster_08034	502.4443007	520.4781267	26.11268801	1384.537968	9113.786133	7123.324707	4961.243652	3703.573486	3550.523682
Cluster_08040	498.200825	521.190046	5.014227151	472.2833278	16353.75098	19518.53711	23365.51563	30847.93555	31980.53516
Cluster_08042	503.18667	521.220496	13.95350887	734.715859	1298.877808	1340.894043	1287.673096	1280.146362	1372.389648
Cluster_08048	503.3101999	521.3440259	26.11349499	1384.583372	99775.46094	84862.40625	74167.55469	77012.39844	64309.89453
Cluster_08056	499.2693724	522.2585934	24.31246331	1282.971978	2682.78418	2573.691895	2168.53125	2122.63501	2417.335449
Cluster_08061	521.2749086	522.2821846	25.78858468	1366.302496	4341.905273	3764.852051	3146.57251	3715.60083	3435.612549
Cluster_08065	499.3031144	522.2923354	25.79011804	1366.38877	1402.006104	1582.514893	1224.703979	1398.525635	1453.479736
Cluster_08069	499.3294871	522.3187081	28.14266667	1496.912226	1722.30896	1567.230713	1758.425171	1760.928589	1601.839966
Cluster_08073	521.3486875	522.3559635	28.20874885	1500.551522	861249.375	799007	775724.8125	900845.75	850478.6875
Cluster_08075	504.3221126	522.3559386	27.64611551	1469.494982	221121.4063	195283.2656	181613.7031	216926.7813	214600.125
Cluster_08077	504.4024683	522.4362943	33.35634717	1781.267775	3441.290039	3482.1875	3285.69043	3428.653564	3245.932373
Cluster_08080	504.4111106	522.4449366	33.35678038	1781.291707	1658.66748	1625.169189	1399.038696	1625.551758	1619.518677
Cluster_08081	521.5953078	522.6025838	28.22174992	1501.257281	8892.143555	8935.945313	9122.082031	9595.78125	9582.713867
Cluster_08086	499.9379758	522.9271968	28.21714957	1501.007552	12891.2373	12611.51758	12428.04395	13117.70801	13026.9541
Cluster_08094	522.2380609	523.2453369	32.68276433	1744.056778	2116.501709	2118.630127	2113.643311	2146.903076	2122.378662
Cluster_08105	501.2128521	524.2020731	11.66455978	648.3262149	1883.38501	1699.189575	1750.450073	1842.666016	1766.308105
Cluster_08106	501.2178532	524.2070742	11.65058173	647.8389618	1412.659424	1374.888062	1425.748779	1422.296021	1465.888672
Cluster_08109	523.2906369	524.2979129	28.98808798	1542.857713	1899.1604	2108.19873	1944.888062	1927.003296	1900.543213
Cluster_08115	523.3633045	524.3705805	36.68481667	1977.559057	1545.588135	1753.095215	1343.983765	1772.257568	1549.960327
Cluster_08124	502.1928619	525.1820829	2.971370991	410.8873181	1188.632935	1494.092041	1638.258179	1977.604614	2367.119629
