id	name	formula	inchikey	exactmass
M_hLkynr_c	3-Hydroxy-L-kynurenine	C10H12N2O4	VCKPUUFAIGNJHC-LURJTMIESA-N	224.0797069
M_3htmelys_c	3-Hydroxy-N6,N6,N6-trimethyl-L-lysine	C9H21N2O3	ZRJHLGYVUCPZNH-MQWKRIRWSA-O	205.154669
M_3hpp_n	3-Hydroxypropanoate	C3H6O3	ALRHLSYJTWAHJZ-UHFFFAOYSA-N	90.03169405
M_3hpcoa_n	3-Hydroxypropionyl-CoA(4-)	C24H40N7O18P3S	BERBFZCUSMQABM-IEXPHMLFSA-N	839.1363396
M_CE2249_c	3-hydroxytetracosanoyl-CoA(4-)	C45H82N7O18P3S	QIBKBVRVOFIKLN-SBPVGHMXSA-N	1133.464991
M_mercplac_c	3-Mercaptolactate	C3H6O3S	OLQOVQTWRIJPRE-REOHCLBHSA-N	122.0037652
M_mercplaccys_c	3-mercaptolactate-cysteinedisulfide	C6H11NO5S2	MAFDYIDMXCXBRB-WUCPZUCCSA-N	241.0078648
M_3mob_c	3-Methyl-2-oxobutanoate	C5H8O3	QHKABHOOEWYVLI-UHFFFAOYSA-N	116.0473441
M_3mb2coa_c	3-Methylbut-2-enoyl-CoA(4-)	C26H42N7O17P3S	BXIPALATIYNHJN-ZMHDXICWSA-N	849.1570751
M_3mgcoa_c	3-Methylglutaconyl-CoA(5-)	C27H42N7O19P3S	ZMMFWDHIXCPOHZ-XRYKKJIBSA-N	893.1469043
M_3mlda_c	3-Methylimidazoleaceticacid	C6H8N2O2	ZHCKPJGJQOPTLB-UHFFFAOYSA-N	140.0585775
M_npddhoxb_m	3-nonaprenyl-4,5-dihydroxybenzoate	C52H78O4	FMSCZYMOUYOENK-OPSRSWOASA-N	766.590011
M_nhoxmox_m	3-nonaprenyl-4-hydroxy-5-methoxybenzoate	C53H80O4	FDPPBYXDOXRDHA-JSGWLJPKSA-N	780.6056611
M_3nphb_m	3-Nonaprenyl-4-hydroxybenzoate	C52H78O3	YKKKMRBEPIZPBH-XWEAJCOCSA-N	750.5950964
M_3oxbcoa_m	3-oxo-behenyl-CoA(4-)	C43H76N7O18P3S	RKCOGGUHKPTOQJ-GNSUAQHMSA-N	1103.418041
M_3odcoa_m	3-Oxodecanoyl-CoA(4-)	C31H52N7O18P3S	AZCVXMAPLHSIKY-HSJNEKGZSA-N	935.23024
